Age,Gender,Faculty,Housing_Arrangement,Main_Income_Source,Monthly_Income,Organised_Money_Management,More_of_a_Saver_Than_a_Spender,Prefer_to_Buy_on_Credit,Savings_for_Rainy_Day,Prefer_to_Live_for_Today,Compare_Prices_Before_Buying,Read_Agreement_Carefully,Avoid_Overspending,Money_Management_Difficulty,Monthly_Savings,Increase_Financial_Knowledge,Complaint_for_Unsuitable_Product
21,Female,FSDK,Live with parents/relatives,Pocket money from parents,RM 100 - RM 500,1,1,1,1,5,Yes,Yes,Never,Always,Sometimes,Always,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,5,5,2,1,5,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Always
21,Female,FSDK,On-campus (student accommodation),Scholarship,RM 100 - RM 500,3,4,1,3,2,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FSDK,Live with parents/relatives,Other,RM 100 - RM 500,3,4,5,1,4,Yes,Yes,Always,Always,Always,Sometimes,Sometimes
21,Male,Other,Off-campus (own),A part time job,RM 100 - RM 500,1,2,1,3,1,Yes,Yes,Always,Always,Always,Never,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,4,5,5,5,5,Yes,Yes,Sometimes,Sometimes,Always,Sometimes,Always
21,Female,FKP,Live with parents/relatives,A part time job,RM 100 - RM 500,5,3,3,5,3,Yes,Yes,Never,Sometimes,Always,Sometimes,Always
21,Female,FSDK,Live with parents/relatives,Scholarship,Below RM 99,3,3,5,3,1,Yes,Yes,Sometimes,Sometimes,Never,Never,Always
21,Female,FSDK,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,1,3,5,1,1,Yes,Yes,Always,Sometimes,Always,Always,Sometimes
21,Male,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,1,3,2,3,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FSDK,Off-campus rent (sharing house/flat),Scholarship,RM 100 - RM 500,3,4,3,3,5,Yes,Yes,Always,Sometimes,Sometimes,Always,Never
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Above RM 600,3,3,3,3,3,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
